name                   ;styczeń   ; luty     ;marzec    ;kwiecień   ;;  maj     ;czerwiec  ;  lipiec  ; sierpień   ; wrzesień ;październik  ; listopad  ; grudzień   ;normalne   ;    ulgowe    ;  razem
Bilety 7 dniowe*6 dni ;    900    ;  1 872   ;  1 176   ;   624     ;;  4 038   ;  15 660  ;  34 176  ;  41 802    ;  23 994  ;    2 718    ;    414    ;    996     ;  82 542    ;   45 828     ;     128 370
OGÓŁEM                ;  128 494  ; 148 565  ;   85 047 ;   56 415  ;;  165 377 ;  361 358 ;  708 939 ;  768 391   ;   489 930;    269 237  ;    122 928;    85 562  ;   2 449 754;    940 489   ;    3 390 24"
Kasprowy Wierch       ;  15 870   ; 33 969   ; 21 815   ;   6 060   ;;  25 117  ;  48 154  ;  78 187  ;   91 706   ;   67 741 ;   24 665    ;   22 101  ;   28 056   ;  463 441   ;              ;     463 441
Dolina Chochołowska   ;  18 855   ; 21 228   ; 13 028   ;  16 527   ;;  33 677  ;  34 788  ;  50 424  ;   58 443   ;   43 243 ;   26 218    ;   11 551  ;   11 399   ;  246 110   ;   93 271     ;     339 381
Dolina Lejowa         ;           ;          ;          ;           ;;          ;  1 991   ;  2 704   ;    3 102   ;    1 389 ;    279      ;           ;            ;   6 181    ;   3 284      ;       9 465
RAZEM                 ;  163 219  ; 203 762  ; 119 890  ;  79 002   ;;  224 171 ;  446 291 ;  840 254 ;   921 642  ;   602 303;   320 399   ;   156 580 ;   125 017  ; 3 165 486  ; 1 037 044    ;    4 202 53"
Mieszkańcy            ;  10 723   ;  8 275   ;  7 979   ;  8 851    ;;   7 322  ;  8 308   ;   8 265  ;    8 915   ;    9 135 ;     8 746   ;   4 327   ;   3 947    ;            ;              ;      94 793
Zwolnieni             ;   653     ;   325    ;  1 056   ;  1 275    ;;   1 922  ;  3 632   ;   5 686  ;    4 818   ;    3 317 ;     2 604   ;   1 495   ;    774     ;            ;              ;      27 557
Skiturowcy            ;  9 045    ; 11 075   ; 11 848   ;  7 717    ;;   1 238  ;    0     ;     0    ;      0     ;      0   ;       0     ;     0     ;   2 428    ;            ;              ;      43 351
Karta Dużej Rodziny   ;  8 881    ;  6 962   ;  4 222   ;  3 747    ;;  10 315  ;  25 884  ;  53 972  ;   65 920   ;   26 532 ;    15 163   ;   6 717   ;   3 479    ;            ;              ;     231 794
CAŁOŚĆ                ;  192 521  ; 230 399  ; 144 995  ; 100 592   ;; 244 968  ; 484 115  ;  908 177 ;  1 001 295 ;  641 287 ;   346 912   ;  169 119  ;  135 645   ;            ;              ;  4 600 025
